product_id,sku,product_name,brand,producer,product_type,category,sub_category,country,region,subregion,appellation,grape_variety,grape_class,wine_style,spirit_style,flavor_profile,food_pairing,alcohol,vintage,bottle_size,price_segment,critic_score,critic_source,taste_vector,pairing_vector,recommendation_score
13,sku_000013,wine_0013,wine_now,cantina_luna,wine,beverage,fine_wine,france,bordeaux,bordeaux_central,bordeaux_central_village,aglianico,red,bold_oaked_red,,black_plum,truffle_pasta,14.1,2023,750ml,entry,97,wine_spectator,"[0.30,0.60,0.90]","[0.40,0.70,0.00]",0.68
14,sku_000014,wine_accessory_0014,wine_now,bodega_sol,wine_accessory,accessory,wine_accessory,france,bordeaux,bordeaux_central,bordeaux_central_premier_cru,,,,,cassis,,,,single_unit,premium,98,wine_advocate,"[0.40,0.70,0.00]","[0.50,0.80,0.10]",0.69
15,sku_000015,glassware_0015,wine_now,distillery_north,glassware,accessory,glassware,france,bordeaux,bordeaux_central,bordeaux_central_grand_cru,,,,,fig,,,,set_of_2,super_premium,99,decanter,"[0.50,0.80,0.10]","[0.60,0.90,0.20]",0.7
16,sku_000016,whisky_0016,liq9,distillery_delta,whisky,beverage,spirits,france,burgundy,burgundy_north,burgundy_north_village,,,,irish_single_malt,mulberry,,16.2,,750ml,luxury,100,jancis_robinson,"[0.60,0.90,0.20]","[0.70,0.00,0.30]",0.71
17,sku_000017,gin_0017,liq9,brewery_harbor,gin,beverage,spirits,france,burgundy,burgundy_north,burgundy_north_premier_cru,,,,,boysenberry,,16.9,,750ml,entry,84,distiller,"[0.70,0.00,0.30]","[0.80,0.10,0.40]",0.72
18,sku_000018,rum_0018,liq9,sake_house_kumo,rum,beverage,spirits,france,burgundy,burgundy_north,burgundy_north_grand_cru,,,,,date,,17.6,,750ml,premium,85,whisky_advocate,"[0.80,0.10,0.40]","[0.90,0.20,0.50]",0.73
19,sku_000019,vodka_0019,liq9,agave_fuego,vodka,beverage,spirits,france,burgundy,burgundy_south,burgundy_south_village,,,,,lemon,,18.3,,750ml,super_premium,86,wine_spectator,"[0.90,0.20,0.50]","[0.00,0.30,0.60]",0.74
20,sku_000020,tequila_0020,liq9,spirit_house_orbit,tequila,beverage,spirits,france,burgundy,burgundy_south,burgundy_south_premier_cru,,,,,lime,,19.0,,750ml,luxury,87,wine_advocate,"[0.00,0.30,0.60]","[0.10,0.40,0.70]",0.75
21,sku_000021,liqueur_0021,liq9,domaine_atlas,liqueur,beverage,spirits,france,burgundy,burgundy_south,burgundy_south_grand_cru,,,,,grapefruit,,19.7,,750ml,entry,88,decanter,"[0.10,0.40,0.70]","[0.20,0.50,0.80]",0.76
22,sku_000022,cognac_0022,liq9,chateau_rivage,cognac,beverage,spirits,france,burgundy,burgundy_east,burgundy_east_village,,,,taiwanese_single_malt,orange_zest,,20.4,,750ml,premium,89,jancis_robinson,"[0.20,0.50,0.80]","[0.30,0.60,0.90]",0.77
23,sku_000023,sake_0023,liq9,cantina_luna,sake,beverage,spirits,france,burgundy,burgundy_east,burgundy_east_premier_cru,,,,,mandarin,,21.1,,750ml,super_premium,90,distiller,"[0.30,0.60,0.90]","[0.40,0.70,0.00]",0.78
24,sku_000024,beer_0024,liq9,bodega_sol,beer,beverage,spirits,france,burgundy,burgundy_east,burgundy_east_grand_cru,,,,,bergamot,,21.8,,750ml,luxury,91,whisky_advocate,"[0.40,0.70,0.00]","[0.50,0.80,0.10]",0.79
25,sku_000025,wine_0025,wine_now,distillery_north,wine,beverage,fine_wine,france,burgundy,burgundy_west,burgundy_west_village,carignan,red,aromatic_white,,yuzu,mac_and_cheese,22.5,2020,750ml,entry,92,wine_spectator,"[0.50,0.80,0.10]","[0.60,0.90,0.20]",0.8
26,sku_000026,wine_accessory_0026,wine_now,distillery_delta,wine_accessory,accessory,wine_accessory,france,burgundy,burgundy_west,burgundy_west_premier_cru,,,,,pomelo,,,,single_unit,premium,93,wine_advocate,"[0.60,0.90,0.20]","[0.70,0.00,0.30]",0.81
27,sku_000027,glassware_0027,wine_now,brewery_harbor,glassware,accessory,glassware,france,burgundy,burgundy_west,burgundy_west_grand_cru,,,,,candied_lemon,,,,set_of_2,super_premium,94,decanter,"[0.70,0.00,0.30]","[0.80,0.10,0.40]",0.82
28,sku_000028,whisky_0028,liq9,sake_house_kumo,whisky,beverage,spirits,france,burgundy,burgundy_central,burgundy_central_village,,,,scotch_single_grain,pineapple,,24.6,,750ml,luxury,95,jancis_robinson,"[0.80,0.10,0.40]","[0.90,0.20,0.50]",0.83
29,sku_000029,gin_0029,liq9,agave_fuego,gin,beverage,spirits,france,burgundy,burgundy_central,burgundy_central_premier_cru,,,,,mango,,25.3,,750ml,entry,96,distiller,"[0.90,0.20,0.50]","[0.00,0.30,0.60]",0.84
30,sku_000030,rum_0030,liq9,spirit_house_orbit,rum,beverage,spirits,france,burgundy,burgundy_central,burgundy_central_grand_cru,,,,,passionfruit,,26.0,,750ml,premium,97,whisky_advocate,"[0.00,0.30,0.60]","[0.10,0.40,0.70]",0.85
31,sku_000031,vodka_0031,liq9,domaine_atlas,vodka,beverage,spirits,france,champagne,champagne_north,champagne_north_village,,,,,guava,,26.7,,750ml,super_premium,98,wine_spectator,"[0.10,0.40,0.70]","[0.20,0.50,0.80]",0.86
32,sku_000032,tequila_0032,liq9,chateau_rivage,tequila,beverage,spirits,france,champagne,champagne_north,champagne_north_premier_cru,,,,,lychee,,27.4,,750ml,luxury,99,wine_advocate,"[0.20,0.50,0.80]","[0.30,0.60,0.90]",0.87
33,sku_000033,liqueur_0033,liq9,cantina_luna,liqueur,beverage,spirits,france,champagne,champagne_north,champagne_north_grand_cru,,,,,papaya,,28.1,,750ml,entry,100,decanter,"[0.30,0.60,0.90]","[0.40,0.70,0.00]",0.88
34,sku_000034,cognac_0034,liq9,bodega_sol,cognac,beverage,spirits,france,champagne,champagne_south,champagne_south_village,,,,wheated_bourbon,banana,,28.8,,750ml,premium,84,jancis_robinson,"[0.40,0.70,0.00]","[0.50,0.80,0.10]",0.89
35,sku_000035,sake_0035,liq9,distillery_north,sake,beverage,spirits,france,champagne,champagne_south,champagne_south_premier_cru,,,,,dragonfruit,,29.5,,750ml,super_premium,85,distiller,"[0.50,0.80,0.10]","[0.60,0.90,0.20]",0.9
36,sku_000036,beer_0036,liq9,distillery_delta,beer,beverage,spirits,france,champagne,champagne_south,champagne_south_grand_cru,,,,,melon,,30.2,,750ml,luxury,86,whisky_advocate,"[0.60,0.90,0.20]","[0.70,0.00,0.30]",0.91
37,sku_000037,wine_0037,wine_now,brewery_harbor,wine,beverage,fine_wine,france,champagne,champagne_east,champagne_east_village,saperavi,red,late_harvest,,rose_petal,lomo_saltado,30.9,2017,750ml,entry,87,wine_spectator,"[0.70,0.00,0.30]","[0.80,0.10,0.40]",0.92
38,sku_000038,wine_accessory_0038,wine_now,sake_house_kumo,wine_accessory,accessory,wine_accessory,france,champagne,champagne_east,champagne_east_premier_cru,,,,,violet,,,,single_unit,premium,88,wine_advocate,"[0.80,0.10,0.40]","[0.90,0.20,0.50]",0.93
39,sku_000039,glassware_0039,wine_now,agave_fuego,glassware,accessory,glassware,france,champagne,champagne_east,champagne_east_grand_cru,,,,,orange_blossom,,,,set_of_2,super_premium,89,decanter,"[0.90,0.20,0.50]","[0.00,0.30,0.60]",0.94
40,sku_000040,whisky_0040,liq9,spirit_house_orbit,whisky,beverage,spirits,france,champagne,champagne_west,champagne_west_village,,,,single_pot_still,jasmine,,33.0,,750ml,luxury,90,jancis_robinson,"[0.00,0.30,0.60]","[0.10,0.40,0.70]",0.95
41,sku_000041,gin_0041,liq9,domaine_atlas,gin,beverage,spirits,france,champagne,champagne_west,champagne_west_premier_cru,,,,,honeysuckle,,33.7,,750ml,entry,91,distiller,"[0.10,0.40,0.70]","[0.20,0.50,0.80]",0.96
42,sku_000042,rum_0042,liq9,chateau_rivage,rum,beverage,spirits,france,champagne,champagne_west,champagne_west_grand_cru,,,,,lavender,,34.4,,750ml,premium,92,whisky_advocate,"[0.20,0.50,0.80]","[0.30,0.60,0.90]",0.97
43,sku_000043,vodka_0043,liq9,cantina_luna,vodka,beverage,spirits,france,champagne,champagne_central,champagne_central_village,,,,,elderflower,,35.1,,750ml,super_premium,93,wine_spectator,"[0.30,0.60,0.90]","[0.40,0.70,0.00]",0.98
44,sku_000044,tequila_0044,liq9,bodega_sol,tequila,beverage,spirits,france,champagne,champagne_central,champagne_central_premier_cru,,,,,chamomile,,35.8,,750ml,luxury,94,wine_advocate,"[0.40,0.70,0.00]","[0.50,0.80,0.10]",0.99
45,sku_000045,liqueur_0045,liq9,distillery_north,liqueur,beverage,spirits,france,champagne,champagne_central,champagne_central_grand_cru,,,,,acacia,,36.5,,750ml,entry,95,decanter,"[0.50,0.80,0.10]","[0.60,0.90,0.20]",0.55
46,sku_000046,cognac_0046,liq9,distillery_delta,cognac,beverage,spirits,france,loire_valley,loire_valley_north,loire_valley_north_village,,,,indian_single_malt,mushroom,,37.2,,750ml,premium,96,jancis_robinson,"[0.60,0.90,0.20]","[0.70,0.00,0.30]",0.56
47,sku_000047,sake_0047,liq9,brewery_harbor,sake,beverage,spirits,france,loire_valley,loire_valley_north,loire_valley_north_premier_cru,,,,,forest_floor,,37.9,,750ml,super_premium,97,distiller,"[0.70,0.00,0.30]","[0.80,0.10,0.40]",0.57
48,sku_000048,beer_0048,liq9,sake_house_kumo,beer,beverage,spirits,france,loire_valley,loire_valley_north,loire_valley_north_grand_cru,,,,,truffle,,38.6,,750ml,luxury,98,whisky_advocate,"[0.80,0.10,0.40]","[0.90,0.20,0.50]",0.58
49,sku_000049,wine_0049,wine_now,agave_fuego,wine,beverage,fine_wine,france,loire_valley,loire_valley_south,loire_valley_south_village,listan_negro,red,dessert_sweet,,wet_leaf,tagine_lamb,39.3,2014,750ml,entry,99,wine_spectator,"[0.90,0.20,0.50]","[0.00,0.30,0.60]",0.59
50,sku_000050,wine_accessory_0050,wine_now,spirit_house_orbit,wine_accessory,accessory,wine_accessory,france,loire_valley,loire_valley_south,loire_valley_south_premier_cru,,,,,leather,,,,single_unit,premium,100,wine_advocate,"[0.00,0.30,0.60]","[0.10,0.40,0.70]",0.6
51,sku_000051,glassware_0051,wine_now,domaine_atlas,glassware,accessory,glassware,france,loire_valley,loire_valley_south,loire_valley_south_grand_cru,,,,,tobacco,,,,set_of_2,super_premium,84,decanter,"[0.10,0.40,0.70]","[0.20,0.50,0.80]",0.61
52,sku_000052,whisky_0052,liq9,chateau_rivage,whisky,beverage,spirits,france,loire_valley,loire_valley_east,loire_valley_east_village,,,,scotch_blended,dried_herbs,,41.4,,750ml,luxury,85,jancis_robinson,"[0.20,0.50,0.80]","[0.30,0.60,0.90]",0.62
53,sku_000053,gin_0053,liq9,cantina_luna,gin,beverage,spirits,france,loire_valley,loire_valley_east,loire_valley_east_premier_cru,,,,,olive_tapenade,,42.1,,750ml,entry,86,distiller,"[0.30,0.60,0.90]","[0.40,0.70,0.00]",0.63
54,sku_000054,rum_0054,liq9,bodega_sol,rum,beverage,spirits,france,loire_valley,loire_valley_east,loire_valley_east_grand_cru,,,,,game,,42.8,,750ml,premium,87,whisky_advocate,"[0.40,0.70,0.00]","[0.50,0.80,0.10]",0.64
55,sku_000055,vodka_0055,liq9,distillery_north,vodka,beverage,spirits,france,loire_valley,loire_valley_west,loire_valley_west_village,,,,,vanilla,,43.5,,750ml,super_premium,88,wine_spectator,"[0.50,0.80,0.10]","[0.60,0.90,0.20]",0.65
56,sku_000056,tequila_0056,liq9,distillery_delta,tequila,beverage,spirits,france,loire_valley,loire_valley_west,loire_valley_west_premier_cru,,,,,cedar,,44.2,,750ml,luxury,89,wine_advocate,"[0.60,0.90,0.20]","[0.70,0.00,0.30]",0.66
57,sku_000057,liqueur_0057,liq9,brewery_harbor,liqueur,beverage,spirits,france,loire_valley,loire_valley_west,loire_valley_west_grand_cru,,,,,toast,,44.9,,750ml,entry,90,decanter,"[0.70,0.00,0.30]","[0.80,0.10,0.40]",0.67
58,sku_000058,cognac_0058,liq9,sake_house_kumo,cognac,beverage,spirits,france,loire_valley,loire_valley_central,loire_valley_central_village,,,,bourbon,smoke,,45.6,,750ml,premium,91,jancis_robinson,"[0.80,0.10,0.40]","[0.90,0.20,0.50]",0.68
59,sku_000059,sake_0059,liq9,agave_fuego,sake,beverage,spirits,france,loire_valley,loire_valley_central,loire_valley_central_premier_cru,,,,,cocoa,,46.3,,750ml,super_premium,92,distiller,"[0.90,0.20,0.50]","[0.00,0.30,0.60]",0.69
60,sku_000060,beer_0060,liq9,spirit_house_orbit,beer,beverage,spirits,france,loire_valley,loire_valley_central,loire_valley_central_grand_cru,,,,,mocha,,47.0,,750ml,luxury,93,whisky_advocate,"[0.00,0.30,0.60]","[0.10,0.40,0.70]",0.7
61,sku_000061,wine_0061,wine_now,domaine_atlas,wine,beverage,fine_wine,france,rhone_valley,rhone_valley_north,rhone_valley_north_village,vermentino,white,light_red,,coffee_bean,smoked_salmon,47.7,2011,750ml,entry,94,wine_spectator,"[0.10,0.40,0.70]","[0.20,0.50,0.80]",0.71
62,sku_000062,wine_accessory_0062,wine_now,chateau_rivage,wine_accessory,accessory,wine_accessory,france,rhone_valley,rhone_valley_north,rhone_valley_north_premier_cru,,,,,caramel,,,,single_unit,premium,95,wine_advocate,"[0.20,0.50,0.80]","[0.30,0.60,0.90]",0.72
63,sku_000063,glassware_0063,wine_now,cantina_luna,glassware,accessory,glassware,france,rhone_valley,rhone_valley_north,rhone_valley_north_grand_cru,,,,,sandalwood,,,,set_of_2,super_premium,96,decanter,"[0.30,0.60,0.90]","[0.40,0.70,0.00]",0.73
64,sku_000064,whisky_0064,liq9,bodega_sol,whisky,beverage,spirits,france,rhone_valley,rhone_valley_south,rhone_valley_south_village,,,,irish_whiskey,black_pepper,,49.8,,750ml,luxury,97,jancis_robinson,"[0.40,0.70,0.00]","[0.50,0.80,0.10]",0.74
65,sku_000065,gin_0065,liq9,distillery_north,gin,beverage,spirits,france,rhone_valley,rhone_valley_south,rhone_valley_south_premier_cru,,,,,white_pepper,,50.5,,750ml,entry,98,distiller,"[0.50,0.80,0.10]","[0.60,0.90,0.20]",0.75
66,sku_000066,rum_0066,liq9,distillery_delta,rum,beverage,spirits,france,rhone_valley,rhone_valley_south,rhone_valley_south_grand_cru,,,,,clove,,51.2,,750ml,premium,99,whisky_advocate,"[0.60,0.90,0.20]","[0.70,0.00,0.30]",0.76
67,sku_000067,vodka_0067,liq9,brewery_harbor,vodka,beverage,spirits,france,rhone_valley,rhone_valley_east,rhone_valley_east_village,,,,,cinnamon,,51.9,,750ml,super_premium,100,wine_spectator,"[0.70,0.00,0.30]","[0.80,0.10,0.40]",0.77
68,sku_000068,tequila_0068,liq9,sake_house_kumo,tequila,beverage,spirits,france,rhone_valley,rhone_valley_east,rhone_valley_east_premier_cru,,,,,anise,,52.6,,750ml,luxury,84,wine_advocate,"[0.80,0.10,0.40]","[0.90,0.20,0.50]",0.78
69,sku_000069,liqueur_0069,liq9,agave_fuego,liqueur,beverage,spirits,france,rhone_valley,rhone_valley_east,rhone_valley_east_grand_cru,,,,,ginger,,53.3,,750ml,entry,85,decanter,"[0.90,0.20,0.50]","[0.00,0.30,0.60]",0.79
70,sku_000070,cognac_0070,liq9,spirit_house_orbit,cognac,beverage,spirits,france,rhone_valley,rhone_valley_west,rhone_valley_west_village,,,,canadian_rye,nutmeg,,54.0,,750ml,premium,86,jancis_robinson,"[0.00,0.30,0.60]","[0.10,0.40,0.70]",0.8
71,sku_000071,sake_0071,liq9,domaine_atlas,sake,beverage,spirits,france,rhone_valley,rhone_valley_west,rhone_valley_west_premier_cru,,,,,cardamom,,54.7,,750ml,super_premium,87,distiller,"[0.10,0.40,0.70]","[0.20,0.50,0.80]",0.81
72,sku_000072,beer_0072,liq9,chateau_rivage,beer,beverage,spirits,france,rhone_valley,rhone_valley_west,rhone_valley_west_grand_cru,,,,,licorice,,55.4,,750ml,luxury,88,whisky_advocate,"[0.20,0.50,0.80]","[0.30,0.60,0.90]",0.82
73,sku_000073,wine_0073,wine_now,cantina_luna,wine,beverage,fine_wine,france,rhone_valley,rhone_valley_central,rhone_valley_central_village,roditis,white,bold_oaked_red,,wet_stone,yakitori,56.1,2023,750ml,entry,89,wine_spectator,"[0.30,0.60,0.90]","[0.40,0.70,0.00]",0.83
74,sku_000074,wine_accessory_0074,wine_now,bodega_sol,wine_accessory,accessory,wine_accessory,france,rhone_valley,rhone_valley_central,rhone_valley_central_premier_cru,,,,,flint,,,,single_unit,premium,90,wine_advocate,"[0.40,0.70,0.00]","[0.50,0.80,0.10]",0.84
75,sku_000075,glassware_0075,wine_now,distillery_north,glassware,accessory,glassware,france,rhone_valley,rhone_valley_central,rhone_valley_central_grand_cru,,,,,chalk,,,,set_of_2,super_premium,91,decanter,"[0.50,0.80,0.10]","[0.60,0.90,0.20]",0.85
76,sku_000076,whisky_0076,liq9,distillery_delta,whisky,beverage,spirits,france,alsace,alsace_north,alsace_north_village,,,,scotch_single_malt,saline,,58.2,,750ml,luxury,92,jancis_robinson,"[0.60,0.90,0.20]","[0.70,0.00,0.30]",0.86
77,sku_000077,gin_0077,liq9,brewery_harbor,gin,beverage,spirits,france,alsace,alsace_north,alsace_north_premier_cru,,,,,graphite,,58.9,,750ml,entry,93,distiller,"[0.70,0.00,0.30]","[0.80,0.10,0.40]",0.87
78,sku_000078,rum_0078,liq9,sake_house_kumo,rum,beverage,spirits,france,alsace,alsace_north,alsace_north_grand_cru,,,,,slate,,59.6,,750ml,premium,94,whisky_advocate,"[0.80,0.10,0.40]","[0.90,0.20,0.50]",0.88
79,sku_000079,vodka_0079,liq9,agave_fuego,vodka,beverage,spirits,france,alsace,alsace_south,alsace_south_village,,,,,iodine,,5.3,,750ml,super_premium,95,wine_spectator,"[0.90,0.20,0.50]","[0.00,0.30,0.60]",0.89
80,sku_000080,tequila_0080,liq9,spirit_house_orbit,tequila,beverage,spirits,france,alsace,alsace_south,alsace_south_premier_cru,,,,,oyster_shell,,6.0,,750ml,luxury,96,wine_advocate,"[0.00,0.30,0.60]","[0.10,0.40,0.70]",0.9
81,sku_000081,liqueur_0081,liq9,domaine_atlas,liqueur,beverage,spirits,france,alsace,alsace_south,alsace_south_grand_cru,,,,,volcanic_ash,,6.7,,750ml,entry,97,decanter,"[0.10,0.40,0.70]","[0.20,0.50,0.80]",0.91
82,sku_000082,cognac_0082,liq9,chateau_rivage,cognac,beverage,spirits,france,alsace,alsace_east,alsace_east_village,,,,speyside_sherry_cask,green_apple,,7.4,,750ml,premium,98,jancis_robinson,"[0.20,0.50,0.80]","[0.30,0.60,0.90]",0.92
83,sku_000083,sake_0083,liq9,cantina_luna,sake,beverage,spirits,france,alsace,alsace_east,alsace_east_premier_cru,,,,,yellow_apple,,8.1,,750ml,super_premium,99,distiller,"[0.30,0.60,0.90]","[0.40,0.70,0.00]",0.93
84,sku_000084,beer_0084,liq9,bodega_sol,beer,beverage,spirits,france,alsace,alsace_east,alsace_east_grand_cru,,,,,pear,,8.8,,750ml,luxury,100,whisky_advocate,"[0.40,0.70,0.00]","[0.50,0.80,0.10]",0.94
85,sku_000085,wine_0085,wine_now,distillery_north,wine,beverage,fine_wine,france,alsace,alsace_west,alsace_west_village,airen,white,aromatic_white,,quince,osso_buco,9.5,2020,750ml,entry,84,wine_spectator,"[0.50,0.80,0.10]","[0.60,0.90,0.20]",0.95
86,sku_000086,wine_accessory_0086,wine_now,distillery_delta,wine_accessory,accessory,wine_accessory,france,alsace,alsace_west,alsace_west_premier_cru,,,,,apricot,,,,single_unit,premium,85,wine_advocate,"[0.60,0.90,0.20]","[0.70,0.00,0.30]",0.96
87,sku_000087,glassware_0087,wine_now,brewery_harbor,glassware,accessory,glassware,france,alsace,alsace_west,alsace_west_grand_cru,,,,,peach,,,,set_of_2,super_premium,86,decanter,"[0.70,0.00,0.30]","[0.80,0.10,0.40]",0.97
88,sku_000088,whisky_0088,liq9,sake_house_kumo,whisky,beverage,spirits,france,alsace,alsace_central,alsace_central_village,,,,american_single_malt,nectarine,,11.6,,750ml,luxury,87,jancis_robinson,"[0.80,0.10,0.40]","[0.90,0.20,0.50]",0.98
89,sku_000089,gin_0089,liq9,agave_fuego,gin,beverage,spirits,france,alsace,alsace_central,alsace_central_premier_cru,,,,,mirabelle,,12.3,,750ml,entry,88,distiller,"[0.90,0.20,0.50]","[0.00,0.30,0.60]",0.99
90,sku_000090,rum_0090,liq9,spirit_house_orbit,rum,beverage,spirits,france,alsace,alsace_central,alsace_central_grand_cru,,,,,cherry,,13.0,,750ml,premium,89,whisky_advocate,"[0.00,0.30,0.60]","[0.10,0.40,0.70]",0.55
91,sku_000091,vodka_0091,liq9,domaine_atlas,vodka,beverage,spirits,france,languedoc_roussillon,languedoc_roussillon_north,languedoc_roussillon_north_village,,,,,raspberry,,13.7,,750ml,super_premium,90,wine_spectator,"[0.10,0.40,0.70]","[0.20,0.50,0.80]",0.56
92,sku_000092,tequila_0092,liq9,chateau_rivage,tequila,beverage,spirits,france,languedoc_roussillon,languedoc_roussillon_north,languedoc_roussillon_north_premier_cru,,,,,strawberry,,14.4,,750ml,luxury,91,wine_advocate,"[0.20,0.50,0.80]","[0.30,0.60,0.90]",0.57
93,sku_000093,liqueur_0093,liq9,cantina_luna,liqueur,beverage,spirits,france,languedoc_roussillon,languedoc_roussillon_north,languedoc_roussillon_north_grand_cru,,,,,cranberry,,15.1,,750ml,entry,92,decanter,"[0.30,0.60,0.90]","[0.40,0.70,0.00]",0.58
94,sku_000094,cognac_0094,liq9,bodega_sol,cognac,beverage,spirits,france,languedoc_roussillon,languedoc_roussillon_south,languedoc_roussillon_south_village,,,,canadian_whisky,red_plum,,15.8,,750ml,premium,93,jancis_robinson,"[0.40,0.70,0.00]","[0.50,0.80,0.10]",0.59
95,sku_000095,sake_0095,liq9,distillery_north,sake,beverage,spirits,france,languedoc_roussillon,languedoc_roussillon_south,languedoc_roussillon_south_premier_cru,,,,,red_currant,,16.5,,750ml,super_premium,94,distiller,"[0.50,0.80,0.10]","[0.60,0.90,0.20]",0.6
96,sku_000096,beer_0096,liq9,distillery_delta,beer,beverage,spirits,france,languedoc_roussillon,languedoc_roussillon_south,languedoc_roussillon_south_grand_cru,,,,,pomegranate,,17.2,,750ml,luxury,95,whisky_advocate,"[0.60,0.90,0.20]","[0.70,0.00,0.30]",0.61
97,sku_000097,wine_0097,wine_now,brewery_harbor,wine,beverage,fine_wine,france,languedoc_roussillon,languedoc_roussillon_east,languedoc_roussillon_east_village,malvasia_fina,white,late_harvest,,wild_berry,peking_duck,17.9,2017,750ml,entry,96,wine_spectator,"[0.70,0.00,0.30]","[0.80,0.10,0.40]",0.62
98,sku_000098,wine_accessory_0098,wine_now,sake_house_kumo,wine_accessory,accessory,wine_accessory,france,languedoc_roussillon,languedoc_roussillon_east,languedoc_roussillon_east_premier_cru,,,,,sour_cherry,,,,single_unit,premium,97,wine_advocate,"[0.80,0.10,0.40]","[0.90,0.20,0.50]",0.63
99,sku_000099,glassware_0099,wine_now,agave_fuego,glassware,accessory,glassware,france,languedoc_roussillon,languedoc_roussillon_east,languedoc_roussillon_east_grand_cru,,,,,blackberry,,,,set_of_2,super_premium,98,decanter,"[0.90,0.20,0.50]","[0.00,0.30,0.60]",0.64
100,sku_000100,whisky_0100,liq9,spirit_house_orbit,whisky,beverage,spirits,france,languedoc_roussillon,languedoc_roussillon_west,languedoc_roussillon_west_village,,,,world_blended_malt,black_cherry,,20.0,,750ml,luxury,99,jancis_robinson,"[0.00,0.30,0.60]","[0.10,0.40,0.70]",0.65
101,sku_000101,gin_0101,liq9,domaine_atlas,gin,beverage,spirits,france,languedoc_roussillon,languedoc_roussillon_west,languedoc_roussillon_west_premier_cru,,,,,blueberry,,20.7,,750ml,entry,100,distiller,"[0.10,0.40,0.70]","[0.20,0.50,0.80]",0.66
102,sku_000102,rum_0102,liq9,chateau_rivage,rum,beverage,spirits,france,languedoc_roussillon,languedoc_roussillon_west,languedoc_roussillon_west_grand_cru,,,,,black_plum,,21.4,,750ml,premium,84,whisky_advocate,"[0.20,0.50,0.80]","[0.30,0.60,0.90]",0.67
